Site,Lat,Long,
Sva1,78.2094444,15.5919444,
Sva4,78.1791667,16.3066667,
Ice1,65.8819444,-18.0508333,
Ice8,65.5297222,-19.5175,
Spa1,42.2438889,-6.0091667,
Tur1,40.4469444,-31.7508333,Need to change longitude to positive
Kaz1,53.2788889,-69.3388889,Need to change longitude to positive
Chi1,-52.1688889,-69.7908333,
Fal2,-51.6980556,-57.8202778,
Ant1,-62.2463889,-58.6775,
Ant2,-62.2394444,-58.6661111,
Ant3,-62.2463889,-58.6686111,
