Taxon,ID,Voucher,Plot,Location,,Lat. ,,Lon.,Ele.,Collector(s),Source
R. melanophthalma,609f,BRY C55042,BM-1,"USA, UT, Wayne Co.:  northwest of Boulder Mountain (BM-1)",38.27364,,-111.6106,,2344 m,"SDL, HCL, JHL, PAR",this study
R. melanophthalma,610f,BRY C55043,BM-1,"USA, UT, Wayne Co.:  northwest of Boulder Mountain (BM-1)",38.27364,,-111.6106,,2344 m,"SDL, HCL, JHL, PAR",this study
R. melanophthalma,611f,BRY C55044,BM-1,"USA, UT, Wayne Co.:  northwest of Boulder Mountain (BM-1)",38.27364,,-111.6106,,2344 m,"SDL, HCL, JHL, PAR",this study
R. melanophthalma,612f,BRY C55045,TLM-1,"USA, Utah, Wayne Co.: Thousand Lake Mountain (1)",38.4243,,-111.6446,,2220 m,LDP,this study
R. melanophthalma,614f,BRY C55046,TLM-1,"USA, Utah, Wayne Co.: Thousand Lake Mountain (1)",38.4243,,-111.6446,,2220 m,LDP,this study
R. melanophthalma,615f,BRY C55047,TLM-1,"USA, Utah, Wayne Co.: Thousand Lake Mountain (1)",38.4243,,-111.6446,,2220 m,LDP,this study
R. melanophthalma,660f,BRY C55048,TLM-10,"USA, Utah, Wayne Co.: Thousand Lake Mountain (10)",38.44317,,-111.4703,,3400 m,LDP,this study
R. melanophthalma,677f,BRY C55049,-,"USA, UT, Emery Co.:  San Rafael Swell",38.70424,,-110.7964,,1967 m,SDL,this study
R. melanophthalma,678f,BRY C55050,-,"USA, UT, Emery Co.:  San Rafael Swell",38.70424,,-110.7964,,1967 m,SDL,this study
R. melanophthalma,693f,BRY C55051,-,"USA, NV, Elko Co.: Humboldt National Forest",41.64676,,-115.313,,2023 m,EA 15-123A,this study
R. melanophthalma,696f,BRY C55052,-,"USA, UT, Uintah Co.: Dinosaur National Monument",40.37167,,-109.093,,2447 m,EA 18-143,this study
R. melanophthalma,697f,BRY C55053,-,"USA, CO, Moffat Co.: Dinosaur National Monument",40.44957,,-108.5234,,1721 m,EA 18-145,this study
R. melanophthalma,699f,BRY C55054,-,"USA, UT, Iron Co.: Cedar Breaks National Monument",37.63043,,-112.8317,,3186 m,EA 22-177,this study
