Investigation_sites,Herbarium_ID,,Mycobiont,Trebouxia_Species,Trebouxia_ITS,Trebouxia-PSBJL,Asterochloris_Species,Asterochloris_ITS,Chloroidium_ITS,Chloroidium_PSBJL,Other_Algae_ITS,Substrate
Ruine Homburg/Germany,T51496,,Peltigera rufescens,T. sp. URa6,KF907572,KF907640,A. sp. URa16,KF907665,-,-,-,terricolous
Ruine Homburg/Germany,T51497,,Psora decipiens,T. asymmetrica,KF907519,KF907641,A. sp. URa17,KF907666,-,-,-,terricolous
Ruine Homburg/Germany,T51498,,Psora decipiens,T. asymmetrica,KF907517,KF907642,-,-,-,-,-,terricolous
Ruine Homburg/Germany,T51499,,Psora decipiens,T. sp. URa6,KF907573,KF907643,A. sp. URa17,KF907667,-,-,-,terricolous
Ruine Homburg/Germany,T51500,,Psora decipiens,-,-,-,A. sp. URa17,KF907668,-,-,-,terricolous
Ruine Homburg/Germany,T51501,,Psora decipiens,-,-,-,A.magna,KF907669,-,-,KF907698,terricolous
Ruine Homburg/Germany,T51502,,Psora decipiens,T. impressa,KF907543,-,A. sp. URa17,KF907670,-,-,KF907699,terricolous
Ruine Homburg/Germany,T51503,,Psora decipiens,T. sp. URa4,KF907574,KF907644,A. sp. URa17,KF907671,-,-,KF907700,terricolous
Ruine Homburg/Germany,T51503,,Psora decipiens,,,,,,,,KF907701,terricolous
Ruine Homburg/Germany,Ps01/GÖSS-001*,,Psora decipiens,-,-,-,A. sp. URa17,KF907645,-,-,KF907686,terricolous
Ruine Homburg/Germany,Ps02/GÖSS-002*,,Psora decipiens,-,-,-,-,-,-,-,KF907687,terricolous
Ruine Homburg/Germany,Ps02/GÖSS-002*,,Psora decipiens,,,,,,,,KF907688,terricolous
Ruine Homburg/Germany,Ps03/GÖSS-003*,,Psora decipiens,-,-,-,-,-,-,-,KF907689,terricolous
Ruine Homburg/Germany,Ps03/GÖSS-003*,,Psora decipiens,,,,,,,,KF907690,terricolous
Ruine Homburg/Germany,Ps04/GÖSS-004*,,Psora decipiens,T. sp. URa9,KF907546,-,-,-,-,-,-,terricolous
Ruine Homburg/Germany,Ps05/GÖSS-005*,,Psora decipiens,T. sp. URa4,KF907547,KF907579,A. sp. URa17,KF907646,-,-,-,terricolous
Pasterze/A,,T34337,F. bracteata ssp. d.,T. sp. URa4,KF907510,KF907594,-,-,-,-,-,terricolous
Hochtor/Austria,,T38477,F. bracteata,T. sp. URa4,KF907511,KF907595,-,-,-,-,-,terricolous
Hochtor/Austria,,T38478,F. bracteata,T. sp. URa4,KF907512,KF907596,-,-,-,-,-,terricolous
Hochtor/Austria,,T40689,Buellia elegans,T. sp. URa4,KF907555,KF907597,-,-,-,-,-,terricolous
Hochtor/Austria,,T40700,Psora decipiens,T. sp. URa13,KF907556,-,-,-,-,-,-,terricolous
Seidenwinkeltal/A,,T46813,Peltigera rufescens,T. sp. URa6,KF907557,KF907604,-,-,-,-,-,terricolous
Hinteres Modereck/Austria,,T50556Pe,Peltigera rufescens,T. sp. URa13,KF907558,-,-,-,-,-,-,terricolous
Hinteres Modereck/Austria,,T50556T,Tamnolia vermicularis,T. jamesii,KF907559,KF907605,-,-,-,-,-,terricolous
Hinteres Modereck/Austria,,T50570C,Cetraria muriacata,T. sp. URa11,KF907560,KF907606,-,-,-,-,-,terricolous
Hinteres Modereck/Austria,,T50570F,F. bracteata,T. sp. URa4,KF907561,KF907607,-,-,-,-,-,terricolous
Hinteres Modereck/Austria,,T50570P,Psora decipiens,T. sp. URa4,KF907562,KF907608,-,-,-,-,-,terricolous
Antarctica,,T33612,Lecidella greenii,T. sp. URa2,JN204733,KF907592,-,-,-,-,-,saxicolous
Antarctica,,T33712,Lecidea cancriformis,T. sp. URa2,JN204744,KF907593,-,-,-,-,-,saxicolous
Antarctica,,T42992,L. cancriformis,T. sp. URa1,JN204771,KF907598,-,-,-,-,-,saxicolous
Antarctica,,T42995,Lecidea andersonii,T. sp. URa2,JN204772,KF907599,-,-,-,-,-,saxicolous
Antarctica,,T43003,L. andersonii,T. sp. URa4,JN204775,KF907600,-,-,-,-,-,saxicolous
Antarctica,,T44634,L. cancriformis,T. sp. URa1,JN204801,KF907601,-,-,-,-,-,saxicolous
Antarctica,,T44641,L. cancriformis,T. sp. URa3,JN204803,KF907602,-,-,-,-,-,saxicolous
Antarctica,,T44692,L. cancriformis,T. jamesii,JN204809,KF907603,-,-,-,-,-,saxicolous
Austria,,G1**,Cultured Trebouxia,T. sp. URa11,KF907535,KF907575,-,-,-,-,-,saxicolous
Austria,,G2**,Cultured Trebouxia,T. sp. URa6,KF907544,KF907576,-,-,-,-,-,saxicolous
Austria,,G3**,Cultured Trebouxia,T. sp. URa11,KF907536,KF907577,-,-,-,-,-,saxicolous
Austria,,G4**,Cultured Trebouxia,T. sp. URa6,KF907545,KF907578,-,-,-,-,-,saxicolous
,,,,,,,,,,,,
