"LABEL","OTU.-.ABGD","OTU-97.5","host.GENUS","host.SPECIES","HOST.DNA.SPECIES","growth.form","Bio-Region","EcoRegion.(I)","EcoRegion.(II)","EcoRegion.(III)","EcoRegion.(IV)","COUNTRY","STATE","SUBSTRATE","DNA_ID","GenBank.ITS","GenBank.COXII","GenBank.rbcL","GenBank.psbJ-L","Lat","Long","LL_Publication","additional_location_info"
"A01_XA_chG2_usa_ID_terr_462                    ","A01","A01","Xanthoparmelia","chlorochroa 'G2'","G2","vagrant/soil","Nearctic","Northwestern Forested Mountains","Western Cordillera","Middle Rockies","Dry Intermountain Sagebrush Valleys","USA","ID","terricolous","462","KR912463","-","-","-","45.0611","-113.713","Leavitt et al. (2015), Leavitt et al. (2011)","USA, ID, Lemhi Co."
"A01_XA_chG2_usa_ND_terr_516                    ","A01","A01","Xanthoparmelia","chlorochroa 'G2'","G2","vagrant/soil","Nearctic","Great Plains","West Central Semi-Arid Prairies","Northwestern Great Plains","Missouri Plateau","USA","ND","terricolous","516","KR912464","-","-","-","46.4564","-103.9277","Leavitt et al. (2015), Leavitt et al. (2011)","USA, ND, Slope Co."
"A01_XA_chG2_usa_ND_terr_517                    ","A01","A01","Xanthoparmelia","chlorochroa 'G2'","G2","vagrant/soil","Nearctic","Great Plains","West Central Semi-Arid Prairies","Northwestern Great Plains","Missouri Plateau","USA","ND","terricolous","517","KR912465","-","-","-","46.4564","-103.9277","Leavitt et al. (2015), Leavitt et al. (2011)","USA, ND, Slope Co."
"A01_XA_chG2_usa_CO_terr_776                    ","A01","A01","Xanthoparmelia","chlorochroa 'G2'","G2","vagrant/soil","Nearctic","Northwestern Forested Mountains","Western Cordillera","Southern Rockies","Crystalline Subalpine Forests","USA","CO","terricolous","776","KR912456","-","-","-","38.9275","-106.2824","Leavitt et al. (2015), Leavitt et al. (2011)","USA, CO, Teller Co."
"A01_XA_chG2_usa_ND_terr_780                    ","A01","A01","Xanthoparmelia","chlorochroa 'G2'","G2","vagrant/soil","Nearctic","Great Plains","West Central Semi-Arid Prairies","Northwestern Great Plains","Missouri Plateau","USA","ND","terricolous","780","KR912466","-","-","-","47.3578","-103.0523","Leavitt et al. (2015), Leavitt et al. (2011)","USA, ND, Dunn Co."
"A01_XA_chG2_usa_ND_terr_781                    ","A01","A01","Xanthoparmelia","chlorochroa 'G2'","G2","vagrant/soil","Nearctic","Great Plains","West Central Semi-Arid Prairies","Northwestern Great Plains","Missouri Plateau","USA","ND","terricolous","781","KR912467","-","-","-","46.7874","-103.3164","Leavitt et al. (2015), Leavitt et al. (2011)","USA, ND, Billings Co."
"A01_XA_chG2_usa_NE_terr_783                    ","A01","A01","Xanthoparmelia","chlorochroa 'G2'","G2","vagrant/soil","Nearctic","Great Plains","West Central Semi-Arid Prairies","Western High Plains","Sandy and Silty Tablelands","USA","NE","terricolous","783","KR912468","-","-","-","42.1191","-103.6791","Leavitt et al. (2015), Leavitt et al. (2011)","USA, NE, Sioux Co."
"A01_XA_chG2_usa_NE_terr_784                    ","A01","A01","Xanthoparmelia","chlorochroa 'G2'","G2","vagrant/soil","Nearctic","Great Plains","West Central Semi-Arid Prairies","Western High Plains","Sandy and Silty Tablelands","USA","NE","terricolous","784","KR912469","-","-","-","42.4657","-103.7942","Leavitt et al. (2015), Leavitt et al. (2011)","USA, NE, Sioux Co."
"A01_XA_chG2_usa_WY_terr_789                    ","A01","A01","Xanthoparmelia","chlorochroa 'G2'","G2","vagrant/soil","Nearctic","North American Deserts","Cold Deserts","Wyoming Basin","Bighorn Basin","USA","WY","terricolous","789","KR912471","-","-","-","43.5916","-107.8383","Leavitt et al. (2015), Leavitt et al. (2011)","USA, WY, Hot Springs Co."
"A01_XA_chG2_usa_CO_terr_796                    ","A01","A01","Xanthoparmelia","chlorochroa 'G2'","G2","vagrant/soil","Nearctic","Great Plains","South Central Semi-Arid Prairies","High Plains","Flat to Rolling Plains","USA","CO","terricolous","796","KR912457","-","-","-","39.7319","-103.9356","Leavitt et al. (2015), Leavitt et al. (2011)","USA, CO, Arapahoe Co."
"A01_XA_chG2_usa_CO_terr_800                    ","A01","A01","Xanthoparmelia","chlorochroa 'G2'","G2","vagrant/soil","Nearctic","Great Plains","South Central Semi-Arid Prairies","High Plains","Moderate Relief Plains","USA","CO","terricolous","800","KR912458","-","-","-","40.6403","-104.4489","Leavitt et al. (2015), Leavitt et al. (2011)","USA, CO, Weld Co."
"A01_XA_chG2_usa_WY_terr_806                    ","A01","A01","Xanthoparmelia","chlorochroa 'G2'","G2","vagrant/soil","Nearctic","Great Plains","South Central Semi-Arid Prairies","High Plains","Moderate Relief Rangeland","USA","WY","terricolous","806","KR912472","-","-","-","41.7412","-104.8854","Leavitt et al. (2015), Leavitt et al. (2011)","USA, WY, Albany Co."
"A01_XA_chG2_usa_WY_terr_808                    ","A01","A01","Xanthoparmelia","chlorochroa 'G2'","G2","vagrant/soil","Nearctic","North American Deserts","Cold Deserts","Wyoming Basin","Foothill Shrublands and Low Mountains","USA","WY","terricolous","808","KR912473","-","-","-","41.9526","-110.244","Leavitt et al. (2015), Leavitt et al. (2011)","USA, WY, Lincoln Co."
"A01_XA_chG2_usa_WY_terr_812                    ","A01","A01","Xanthoparmelia","chlorochroa 'G2'","G2","vagrant/soil","Nearctic","North American Deserts","Cold Deserts","Wyoming Basin","Rolling Sagebrush Steppe","USA","WY","terricolous","812","KR912474","-","-","-","42.937","-108.4622","Leavitt et al. (2015), Leavitt et al. (2011)","USA, WY, Fremont Co."
"A01_XA_chG2_usa_WY_terr_815                    ","A01","A01","Xanthoparmelia","chlorochroa 'G2'","G2","vagrant/soil","Nearctic","North American Deserts","Cold Deserts","Wyoming Basin","Laramie Basin","USA","WY","terricolous","815","KR912475","-","-","-","41.3239","-105.7434","Leavitt et al. (2015), Leavitt et al. (2011)","USA, WY, Albany Co."
"A01_XA_chG2_usa_CO_terr_820                    ","A01","A01","Xanthoparmelia","chlorochroa 'G2'","G2","vagrant/soil","Nearctic","Great Plains","South Central Semi-Arid Prairies","High Plains","Moderate Relief Plains","USA","CO","terricolous","820","KR912459","-","-","-","40.6097","-103.8026","Leavitt et al. (2015), Leavitt et al. (2011)","USA, CO, Weld Co."
"A01_XA_chG2_usa_CO_terr_822                    ","A01","A01","Xanthoparmelia","chlorochroa 'G2'","G2","vagrant/soil","Nearctic","Northwestern Forested Mountains","Western Cordillera","Southern Rockies","Grassland Parks","USA","CO","terricolous","822","KR912460","-","-","-","38.8411","-106.0059","Leavitt et al. (2015), Leavitt et al. (2011)","USA, CO, Chaffee Co."
"A01_XA_chG2_usa_CO_terr_823                    ","A01","A01","Xanthoparmelia","chlorochroa 'G2'","G2","vagrant/soil","Nearctic","Northwestern Forested Mountains","Western Cordillera","Southern Rockies","Grassland Parks","USA","CO","terricolous","823","KR912461","-","-","-","38.8411","-106.0059","Leavitt et al. (2015), Leavitt et al. (2011)","USA, CO, Chaffee Co."
"A01_XA_chH1_usa_WY_terr_207                    ","A01","A01","Xanthoparmelia","chlorochroa 'H1'","H1","vagrant/soil","Nearctic","North American Deserts","Cold Deserts","Wyoming Basin","Rolling Sagebrush Steppe","USA","WY","terricolous","207","KR912484","-","-","-","41.7708","-107.4778","Leavitt et al. (2015), Leavitt et al. (2011)","USA, WY, Carbon Co."
"A01_XA_chH1_usa_UT_terr_232                    ","A01","A01","Xanthoparmelia","chlorochroa 'H1'","H1","vagrant/soil","Nearctic","Northwestern Forested Mountains","Western Cordillera","Wasatch and Uinta Mountains","Semiarid Foothills","USA","UT","terricolous","232","KR912481","-","-","-","38.4347","-111.6992","Leavitt et al. (2015), Leavitt et al. (2011)","USA, UT, Wayne Co."
"A01_XA_chH1_usa_UT_terr_233                    ","A01","A01","Xanthoparmelia","chlorochroa 'H1'","H1","vagrant/soil","Nearctic","Northwestern Forested Mountains","Western Cordillera","Wasatch and Uinta Mountains","Semiarid Foothills","USA","UT","terricolous","233","KR912482","-","-","-","38.4347","-111.6992","Leavitt et al. (2015), Leavitt et al. (2011)","USA, UT, Wayne Co."
"A01_XA_chH1_usa_NV_terr_299                    ","A01","A01","Xanthoparmelia","chlorochroa 'H1'","H1","vagrant/soil","Nearctic","North American Deserts","Cold Deserts","Central Basin and Range","Carbonate Sagebrush Valleys","USA","NV","terricolous","299","KR912478","-","-","-","39.0699","-114.4472","Leavitt et al. (2015), Leavitt et al. (2011)","USA, NV, White Pine Co."
"A01_XA_chH1_usa_NV_terr_300                    ","A01","A01","Xanthoparmelia","chlorochroa 'H1'","H1","vagrant/soil","Nearctic","North American Deserts","Cold Deserts","Central Basin and Range","Carbonate Sagebrush Valleys","USA","NV","terricolous","300","KR912479","-","-","-","39.0699","-114.4472","Leavitt et al. (2015), Leavitt et al. (2011)","USA, NV, White Pine Co."
"A01_XA_chH1_usa_ID_terr_304                    ","A01","A01","Xanthoparmelia","chlorochroa 'H1'","H1","vagrant/soil","Nearctic","Northwestern Forested Mountains","Western Cordillera","Middle Rockies","Dry Intermontane Sagebrush Valleys","USA","ID","terricolous","304","KR912476","-","-","-","44.3323","-114.0501","Leavitt et al. (2015), Leavitt et al. (2011)","USA, ID, Custer Co."
"A01_XA_chH1_usa_ID_terr_345                    ","A01","A01","Xanthoparmelia","chlorochroa 'H1'","H1","vagrant/soil","Nearctic","Northwestern Forested Mountains","Western Cordillera","Middle Rockies","Dry Intermountain Sagebrush Valleys","USA","ID","terricolous","345","KR912477","-","-","-","44.359","-114.0649","Leavitt et al. (2015), Leavitt et al. (2011)","USA, ID, Custer Co."
"A01_XA_chH1_usa_UT_terr_574                    ","A01","A01","Xanthoparmelia","chlorochroa 'H1'","H1","vagrant/soil","Nearctic","North American Deserts","Cold Deserts","Central Basin and Range","Sagebrush Basins and Slopes","USA","UT","terricolous","574","KR912483","-","-","-","38.5945","-113.743","Leavitt et al. (2015), Leavitt et al. (2011)","USA, UT, Millard Co."
"A01_XA_chH1_usa_NV_terr_782                    ","A01","A01","Xanthoparmelia","chlorochroa 'H1'","H1","vagrant/soil","Nearctic","North American Deserts","Cold Deserts","Central Basin and Range","Carbonate Sagebrush Valleys","USA","NV","terricolous","782","KR912480","-","-","-","39.3035","-114.3727","Leavitt et al. (2015), Leavitt et al. (2011)","USA, NV, White Pine Co."
"A01_XA_chH1_usa_WY_terr_805                    ","A01","A01","Xanthoparmelia","chlorochroa 'H1'","H1","vagrant/soil","Nearctic","North American Deserts","Cold Deserts","Wyoming Basin","Rolling Sagebrush Steppe","USA","WY","terricolous","805","KR912485","-","-","-","43.0346","-106.8668","Leavitt et al. (2015), Leavitt et al. (2011)","USA, WY, Natroma Co."
"A01_XA_chH2_usa_WY_terr_168                    ","A01","A01","Xanthoparmelia","chlorochroa 'H2'","H2","vagrant/soil","Nearctic","North American Deserts","Cold Deserts","Wyoming Basin","Rolling Sagebrush Steppe","USA","WY","terricolous","168","KR912488","-","-","-","41.9861","-110.0417","Leavitt et al. (2015), Leavitt et al. (2011)","USA, WY, Sweetwater Co."
"A01_XA_chH2_usa_WY_terr_310                    ","A01","A01","Xanthoparmelia","chlorochroa 'H2'","H2","vagrant/soil","Nearctic","Northwestern Forested Mountains","Western Cordillera","Middle Rockies","Yellowstone Plateau","USA","WY","terricolous","310","KR912489","-","-","-","44.9779","-110.7047","Leavitt et al. (2015), Leavitt et al. (2011)","USA, CO, Park Co."
"A01_XA_chH2_usa_WY_terr_314                    ","A01","A01","Xanthoparmelia","chlorochroa 'H2'","H2","vagrant/soil","Nearctic","Northwestern Forested Mountains","Western Cordillera","Middle Rockies","Absaroka-Gallatin Volcanic Mountains","USA","WY","terricolous","314","KR912490","-","-","-","44.9779","-110.7047","Leavitt et al. (2015), Leavitt et al. (2011)","USA, CO, Park Co."
"A01_XA_chH2_usa_SD_terr_778                    ","A01","A01","Xanthoparmelia","chlorochroa 'H2'","H2","vagrant/soil","Nearctic","Great Plains","West Central Semi-Arid Prairies","Northwestern Great Plains","Missouri Plateau","USA","SD","terricolous","778","KR912487","-","-","-","45.3998","-103.1636","Leavitt et al. (2015), Leavitt et al. (2011)","USA, SD, Harding Co."
"A01_XA_chH2_usa_CO_terr_798                    ","A01","A01","Xanthoparmelia","chlorochroa 'H2'","H2","vagrant/soil","Nearctic","Great Plains","South Central Semi-Arid Prairies","Southwestern Tablelands","Piedmont Plains and Tablelands","USA","CO","terricolous","798","KR912486","-","-","-","39.4477","-103.9247","Leavitt et al. (2015), Leavitt et al. (2011)","USA, CO, Elbert Co."
"A01_XA_chHX_usa_WY_terr_801                    ","A01","A01","Xanthoparmelia","chlorochroa 'HM'","unknown","vagrant/soil","Nearctic","North American Deserts","Cold Deserts","Wyoming Basin","Rolling Sagebrush Steppe","USA","WY","terricolous","801","KR912491","-","-","-","42.237","-109.1712","Leavitt et al. (2015), Leavitt et al. (2011)","USA, WY, Sweetwater Co."
"A01_XA_chHX_usa_WY_terr_802                    ","A01","A01","Xanthoparmelia","chlorochroa 'HM'","unknown","vagrant/soil","Nearctic","Great Plains","West Central Semi-Arid Prairies","Northwestern Great Plains","Semiarid Pierre Shale Plains","USA","WY","terricolous","802","KR912492","-","-","-","44.2751","-104.9885","Leavitt et al. (2015), Leavitt et al. (2011)","USA, WY, Crook Co."
"A01_XA_chHX_usa_WY_terr_804                    ","A01","A01","Xanthoparmelia","chlorochroa 'HM'","unknown","vagrant/soil","Nearctic","North American Deserts","Cold Deserts","Wyoming Basin","Bighorn Salt Desert Shrub Basins","USA","WY","terricolous","804","KR912493","-","-","-","43.2021","-107.9202","Leavitt et al. (2015), Leavitt et al. (2011)","USA, WY, Fremont Co."
"A01_XA_chX_usa_ID_terr_302                     ","A01","A01","Xanthoparmelia","chlorochroa 'mixed'","unknown","vagrant/soil","Nearctic","Northwestern Forested Mountains","Western Cordillera","Middle Rockies","Dry Intermountain Sagebrush Valleys","USA","ID","terricolous","302","KR912500","-","-","-",NA,NA,NA,NA
"A01_XA_chX_usa_UT_terr_313                     ","A01","A01","Xanthoparmelia","chlorochroa 'mixed'","unknown","vagrant/soil","Nearctic","North American Deserts","Cold Deserts","Colorado Plateaus","Semiarid Benchlands and Canyonlands","USA","UT","terricolous","313","KR912501","-","-","-",NA,NA,NA,NA
"A01_XA_chX_usa_CO_terr_379                     ","A01","A01","Xanthoparmelia","chlorochroa 'mixed'","unknown","vagrant/soil","Nearctic","Great Plains","South Central Semi-Arid Prairies","High Plains","Moderate Relief Plains","USA","CO","terricolous","379","KR912495","-","-","-",NA,NA,NA,NA
"A01_XA_chX_usa_CO_terr_380                     ","A01","A01","Xanthoparmelia","chlorochroa 'mixed'","unknown","vagrant/soil","Nearctic","Great Plains","South Central Semi-Arid Prairies","High Plains","Flat to Rolling Plains","USA","CO","terricolous","380","KR912496","-","-","-",NA,NA,NA,NA
"A01_XA_chX_usa_CO_terr_382                     ","A01","A01","Xanthoparmelia","chlorochroa 'mixed'","unknown","vagrant/soil","Nearctic","Great Plains","South Central Semi-Arid Prairies","High Plains","Flat to Rolling Plains","USA","CO","terricolous","382","KR912497","-","-","-",NA,NA,NA,NA
"A01_XA_chX_usa_CO_terr_384                     ","A01","A01","Xanthoparmelia","chlorochroa 'mixed'","unknown","vagrant/soil","Nearctic","Great Plains","South Central Semi-Arid Prairies","High Plains","Flat to Rolling Plains","USA","CO","terricolous","384","KR912498","-","-","-",NA,NA,NA,NA
"A01_XA_chX_usa_CO_terr_388                     ","A01","A01","Xanthoparmelia","chlorochroa 'mixed'","unknown","vagrant/soil","Nearctic","Northwestern Forested Mountains","Western Cordillera","Southern Rockies","Sedimentary Mid-elevation Forests","USA","CO","terricolous","388","KR912499","-","-","-",NA,NA,NA,NA
"A01_XA_chX_usa_WY_terr_395                     ","A01","A01","Xanthoparmelia","chlorochroa 'mixed'","unknown","vagrant/soil","Nearctic","North American Deserts","Cold Deserts","Wyoming Basin","Rolling Sagebrush Steppe","USA","CO","terricolous","395","KR912503","-","-","-",NA,NA,NA,NA
"A01_XA_chX_usa_UT_terr_423                     ","A01","A01","Xanthoparmelia","chlorochroa 'mixed'","unknown","vagrant/soil","Nearctic","Northwestern Forested Mountains","Western Cordillera","Wasatch and Uinta Mountains","High Plateaus","USA","UT","terricolous","423","KR912502","-","-","-",NA,NA,NA,NA
"A01_XA_chX_canada_BC_terr_834                  ","A01","A01","Xanthoparmelia","chlorochroa 'mixed'","unknown","vagrant/soil","Nearctic","Northern Forests","Boreal Plain","Mid-Boreal Uplands and Peace-Wabaska Lowlands",NA,"Canada","BC","terricolous","834","KR912494","-","-","-",NA,NA,NA,NA
"A01_XA_chX_canada_unk_terr_EU416215            ","A01","A01","Xanthoparmelia","chlorochroa 'mixed'","unknown","vagrant/soil","Nearctic",NA,NA,NA,NA,"Canada",NA,"terricolous","EU416215            ","EU416215","-","-","-",NA,NA,NA,NA
"A01_XA_coCX_usa_UT_saxi_085                    ","A01","A01","Xanthoparmelia","coloradoensis 'CM'","unknown","foliose rock","Nearctic","Northwestern Forested Mountains","Western Cordillera","Wasatch and Uinta Mountains","Semiarid Foothills","USA","UT","saxicolous","85","KR912504","-","-","-","38.2757","-111.6081","Leavitt et al. (2015), Leavitt et al. (2011)","USA, UT, Wayne Co."
"A01_XA_coCX_usa_UT_saxi_086                    ","A01","A01b","Xanthoparmelia","coloradoensis 'CM'","unknown","foliose rock","Nearctic","Northwestern Forested Mountains","Western Cordillera","Wasatch and Uinta Mountains","Semiarid Foothills","USA","UT","saxicolous","86","KR912505","-","-","-","38.2757","-111.6081","Leavitt et al. (2015), Leavitt et al. (2011)","USA, UT, Wayne Co."
"A01_XA_coE3_usa_UT_saxi_444                    ","A01","A01","Xanthoparmelia","coloradoensis 'E3'","E3","foliose rock","Nearctic","Northwestern Forested Mountains","Western Cordillera","Wasatch and Uinta Mountains","Mid-elevation Uinta Mountains","USA","UT","saxicolous","444","KR912506","-","-","-","40.5351","-110.2233","Leavitt et al. (2015), Leavitt et al. (2011)","USA, UT, Duchesne Co."
"A01_XA_coE3_usa_UT_saxi_446                    ","A01","A01","Xanthoparmelia","coloradoensis 'E3'","E3","foliose rock","Nearctic","Northwestern Forested Mountains","Western Cordillera","Wasatch and Uinta Mountains","Mid-elevation Uinta Mountains","USA","UT","saxicolous","446","KR912507","-","-","-","40.5351","-110.2233","Leavitt et al. (2015), Leavitt et al. (2011)","USA, UT, Duchesne Co."
"A01_XA_cuE1_usa_UT_saxi_039                    ","A01","A01","Xanthoparmelia","cumberlandia 'E1'","E1","foliose rock","Nearctic","Northwestern Forested Mountains","Western Cordillera","Wasatch and Uinta Mountains","High Plateaus","USA","UT","saxicolous","39","KR912508","-","-","-","38.122","-111.5071","Leavitt et al. (2015), Leavitt et al. (2011)","USA, UT, Wayne Co."
"A01_XA_diD1_usa_NV_saxi_292                    ","A01","A01","Xanthoparmelia","dierythra 'D1'","D1","foliose rock","Nearctic","North American Deserts","Cold Deserts","Northern Basin and Range","Dissected High Lava Plateau","USA","NV","saxicolous","292","KR912509","-","-","-","41.9421","-114.6883","Leavitt et al. (2015), Leavitt et al. (2011)","USA, NV, Elko Co."
"A01_XA_diD1_usa_UT_saxi_439                    ","A01","A01","Xanthoparmelia","dierythra 'D1'","D1","foliose rock","Nearctic","Northwestern Forested Mountains","Western Cordillera","Wasatch and Uinta Mountains","Mid-elevation Uinta Mountains","USA","UT","saxicolous","439","KR912510","-","-","-","40.2039","-110.713","Leavitt et al. (2015), Leavitt et al. (2011)","USA, UT, Duchesne Co,"
"A01_XA_diF2_usa_UT_saxi_226                    ","A01","A01","Xanthoparmelia","dierythra 'F2'","F2","foliose rock","Nearctic","Northwestern Forested Mountains","Western Cordillera","Wasatch and Uinta Mountains","Semiarid Foothills","USA","UT","saxicolous","226","KR912511","-","-","-",NA,NA,NA,NA
"A01_XA_idB2_usa_ID_terr_315                    ","A01","A01","Xanthoparmelia","idahoensis 'B1'","B1","vagrant/soil","Nearctic","Northwestern Forested Mountains","Western Cordillera","Middle Rockies","Dry Intermountain Sagebrush Valleys","USA","ID","terricolous","315","KR912514","-","-","-","44.9316","-113.7674","Leavitt et al. (2015), Leavitt et al. (2011)","USA, ID, Lemhi Co."
"A01_XA_idB2_canada_SK_terr_324                 ","A01","A01","Xanthoparmelia","idahoensis 'B2'","B2","vagrant/soil","Nearctic","Great Plains","West Central Semi-Arid Prairies","Northwestern Glaciated Plains",NA,"Canada","SK","terricolous","324","KR912512","-","-","-","49.2666","-107.6369","Leavitt et al. (2015), Leavitt et al. (2011)","Canada, Saskatchewan."
"A01_XA_idB2_canada_SK_terr_325                 ","A01","A01","Xanthoparmelia","idahoensis 'B2'","B2","vagrant/soil","Nearctic","Great Plains","West Central Semi-Arid Prairies","Northwestern Glaciated Plains",NA,"Canada","SK","terricolous","325","KR912513","-","-","-","49.2666","-107.6369","Leavitt et al. (2015), Leavitt et al. (2011)","Canada, Saskatchewan."
"A01_XA_idBX_usa_ID_terr_318                    ","A01","A01","Xanthoparmelia","idahoensis 'BM'","unknown","vagrant/soil","Nearctic","Northwestern Forested Mountains","Western Cordillera","Middle Rockies","Dry Intermountain Sagebrush Valleys","USA","ID","terricolous","318","KR912516","-","-","-","45.1204","-113.8624","Leavitt et al. (2015), Leavitt et al. (2011)","USA, ID, Lemhi Co."
"A01_XA_idBX_usa_ID_terr_319                    ","A01","A01","Xanthoparmelia","idahoensis 'BM'","unknown","vagrant/soil","Nearctic","Northwestern Forested Mountains","Western Cordillera","Middle Rockies","Dry Intermountain Sagebrush Valleys","USA","ID","terricolous","319","KR912517","-","-","-","45.1204","-113.8624","Leavitt et al. (2015), Leavitt et al. (2011)","USA, ID, Lemhi Co."
"A01_XA_idBX_usa_CO_terr_323                    ","A01","A01","Xanthoparmelia","idahoensis 'BM'","unknown","vagrant/soil","Nearctic","Northwestern Forested Mountains","Western Cordillera","Southern Rockies","Sagebrush Parks","USA","CO","terricolous","323","KR912515","-","-","-","40.1093","-106.4262","Leavitt et al. (2015), Leavitt et al. (2011)","USA, CO, Grand Co."
"A01_XA_lipochE2_usa_WY_terr_280                ","A01","A01","Xanthoparmelia","lipochlorochroa 'E2'","E2","vagrant/soil","Nearctic","North American Deserts","Cold Deserts","Wyoming Basin","Salt Desert Shrub Basins","USA","WY","terricolous","280","KR912521","-","-","-","41.6388","-110.5699","Leavitt et al. (2015), Leavitt et al. (2011)","USA, WY, Lincoln Co."
"A01_XA_lipochE2_usa_WY_terr_281                ","A01","A01","Xanthoparmelia","lipochlorochroa 'E2'","E2","vagrant/soil","Nearctic","North American Deserts","Cold Deserts","Wyoming Basin","Salt Desert Shrub Basins","USA","WY","terricolous","281","KR912522","-","-","-","41.6388","-110.5699","Leavitt et al. (2015), Leavitt et al. (2011)","USA, WY, Lincoln Co."
"A01_XA_lipochE2_usa_WY_terr_282                ","A01","A01","Xanthoparmelia","lipochlorochroa 'E2'","E2","vagrant/soil","Nearctic","North American Deserts","Cold Deserts","Wyoming Basin","Salt Desert Shrub Basins","USA","WY","terricolous","282","KR912523","-","-","-","41.6254","-110.627","Leavitt et al. (2015), Leavitt et al. (2011)","USA, WY, Lincoln Co."
"A01_XA_meD1_usa_NV_saxi_291                    ","A01","A01","Xanthoparmelia","mexicana 'D1'","D1","foliose rock","Nearctic","North American Deserts","Cold Deserts","Northern Basin and Range","Dissected High Lava Plateau","USA","NV","saxicolous","291","KR912525","-","-","-","41.9421","-114.6883","Leavitt et al. (2015), Leavitt et al. (2011)","USA, NV, Elko Co."
"A01_XA_meD1_usa_WY_saxi_828                    ","A01","A01","Xanthoparmelia","mexicana 'D1'","D1","foliose rock","Nearctic","Northwestern Forested Mountains","Western Cordillera","Middle Rockies","Granitic Subalpine Zone","USA","WY","saxicolous","828","KR912527","-","-","-","44.3394","-106.9768","Leavitt et al. (2015), Leavitt et al. (2011)","USA, WY, Johnson Co."
"A01_XA_meD1_usa_NV_saxi_830                    ","A01","A01","Xanthoparmelia","mexicana 'D1'","D1","foliose rock","Nearctic","North American Deserts","Cold Deserts","Central Basin and Range","Carbonate Woodland Zone","USA","NV","saxicolous","830","KR912526","-","-","-","39.2478","-114.1195","Leavitt et al. (2015), Leavitt et al. (2011)","USA, NV, White Pine Co."
"A01_XA_meD1_usa_MT_saxi_920                    ","A01","A01","Xanthoparmelia","mexicana 'D1'","D1","foliose rock","Nearctic","Great Plains","West Central Semi-Arid Prairies","Northwestern Great Plains","Forested Buttes","USA","MT","saxicolous","920","KR912524","-","-","-","45.8192","-104.44","Leavitt et al. (2015), Leavitt et al. (2011)","USA, MT, Carter Co."
"A01_XA_mexi_usa_NV_saxi_6760                   ","A01","A01","Xanthoparmelia","mexicana 'D1'","D1","foliose rock","Nearctic","North American Deserts","Cold Deserts","Central Basin and Range","Carbonate Woodland Zone","USA","NV","saxicolous","6760","KR912532","-","-","-",NA,NA,NA,NA
"A01_XA_meF2_usa_AZ_saxi_150                    ","A01","A01","Xanthoparmelia","mexicana 'F2'","F2","foliose rock","Nearctic","North American Deserts","Warm Desert","Mojave Basin and Range","Creosote Bush-Dominated Basins","USA","AZ","saxicolous","150","KR912528","-","-","-","36.9739","-113.6444","Leavitt et al. (2015), Leavitt et al. (2011)","USA, AZ, Mojave Co."
"A01_XA_meF2_usa_AZ_saxi_151                    ","A01","A01","Xanthoparmelia","mexicana 'F2'","F2","foliose rock","Nearctic","North American Deserts","Warm Desert","Mojave Basin and Range","Creosote Bush-Dominated Basins","USA","AZ","saxicolous","151","KR912529","-","-","-","36.9739","-113.6444","Leavitt et al. (2015), Leavitt et al. (2011)","USA, AZ, Mojave Co."
"A01_XA_meF2_usa_AZ_saxi_153                    ","A01","A01","Xanthoparmelia","mexicana 'F2'","F2","foliose rock","Nearctic","North American Deserts","Warm Desert","Mojave Basin and Range","Creosote Bush-Dominated Basins","USA","AZ","saxicolous","153","KR912530","-","-","-","36.9739","-113.6444","Leavitt et al. (2015), Leavitt et al. (2011)","USA, AZ, Mojave Co."
"A01_XA_meF2_usa_UT_saxi_508                    ","A01","A01","Xanthoparmelia","mexicana 'F2'","F2","foliose rock","Nearctic","Northwestern Forested Mountains","Western Cordillera","Wasatch and Uinta Mountains","High Plateaus","USA","UT","saxicolous","508","KR912531","-","-","-","38.2454","-111.3768","Leavitt et al. (2015), Leavitt et al. (2011)","USA, UT, Wayne Co."
"A01_XA_neochE2_usa_WY_terr_278                 ","A01","A01","Xanthoparmelia","neochlorochroa 'E2'","E2","vagrant/soil","Nearctic","North American Deserts","Cold Deserts","Wyoming Basin","Salt Desert Shrub Basins","USA","WY","terricolous","278","KR912533","-","-","-","41.6387","-110.5699","Leavitt et al. (2015), Leavitt et al. (2011)","USA, WY, Lincoln Co."
"A01_XA_neochE2_usa_WY_terr_279                 ","A01","A01","Xanthoparmelia","neochlorochroa 'E2'","E2","vagrant/soil","Nearctic","North American Deserts","Cold Deserts","Wyoming Basin","Salt Desert Shrub Basins","USA","WY","terricolous","279","KR912534","-","-","-","41.6254","-110.627","Leavitt et al. (2015), Leavitt et al. (2011)","USA, WY, Lincoln Co."
"A01_XA_neochH1_usa_NV_terr_295                 ","A01","A01","Xanthoparmelia","neochlorochroa 'H1'","H1","vagrant/soil","Nearctic","North American Deserts","Cold Deserts","Northern Basin and Range","Dissected High Lava Plateau","USA","NV","terricolous","295","KR912535","-","-","-","41.9494","-114.6819","Leavitt et al. (2015), Leavitt et al. (2011)","USA, NV, Elko Co."
"A01_XA_neochH1_usa_NV_terr_296                 ","A01","A01","Xanthoparmelia","neochlorochroa 'H1'","H1","vagrant/soil","Nearctic","North American Deserts","Cold Deserts","Northern Basin and Range","Dissected High Lava Plateau","USA","NV","terricolous","296","KR912536","-","-","-","41.9494","-114.6819","Leavitt et al. (2015), Leavitt et al. (2011)","USA, NV, Elko Co."
